participant_id,age,gender,occupation,daily_usage_hours,night_usage_hours,app_switch_frequency,notification_check_frequency,short_video_consumption_rate,average_session_duration,dopamine_trigger_score,emotional_dependency_score,social_validation_dependency,impulsive_usage_score,emotional_instability_score,cognitive_fatigue_score,loneliness_indicator_score,anxiety_level,attention_fragmentation_index,concentration_score,multitasking_dependency,content_switching_rate,attention_span_estimate,sleep_hours,sleep_disruption_score,fatigue_after_usage,morning_tiredness_score,preferred_content_type,negativity_exposure_score,overstimulation_index,rage_content_exposure,emotional_trigger_sensitivity,behavioral_text,sentiment_score,toxicity_score,emotional_tone,addiction_risk_level,behavioral_risk_score,algorithmic_influence_score,digital_behavioral_risk_index
P0001,32,Other,Creator,2.4,1.1,15,102,6.1,29.4,2.6,3,9.5,1.2,3.1,2.4,8.4,4.1,1.4,9.6,9.2,9.9,7.9,7.8,2.4,9.7,9.5,Memes,3.4,2.1,7.1,3.9,I rarely spend too much time online.,0.79,0.53,Calm,Low,23,3.1,27
P0002,27,Other,Employee,3.9,3.8,20,58,8.9,22.9,1.9,2.8,5.7,5.2,2.3,7.5,4.6,2.8,1.2,9.2,8.5,7.7,8.5,7,2.4,5.9,2.7,Gaming,7.4,2.3,9.6,3.8,I can control my screen usage effectively.,-0.18,0.72,Calm,Low,21.2,4,31.4
P0003,33,Female,Freelancer,3.7,0.2,31,68,6.5,71.2,1.1,1.7,1.5,3.1,7.9,6.9,6,6.5,2.7,7,3.7,2.4,7,7.2,2.5,8.8,2,Lifestyle,1.3,2.3,6.1,8.6,I rarely spend too much time online.,-0.27,0.17,Calm,Low,20.6,3.5,35.6
P0004,32,Male,College Student,10.1,0.1,16,109,8.1,28.3,9.4,10.6,2.6,3.2,8.8,4.3,7.1,1.1,9.2,1.2,7.5,6.6,1.7,4,7.4,5.2,3.6,Memes,10,9.8,1.4,2.5,I spend hours watching shorts without realizing time.,0.76,0.4,Stressed,High,92.8,9.2,77.7
P0005,25,Other,Creator,1.8,1,15,141,3.1,83.7,1,2.3,5.5,7.5,5.1,9.8,1.3,5.8,1.1,9.4,1.5,10,9.8,8.1,1.3,9.4,8,Shorts,7.7,1.3,6.5,1.6,I mainly use YouTube for learning.,0.66,0.36,Neutral,Low,14,1.8,33.9
P0006,19,Male,Freelancer,9.9,8.1,44,21,7.9,15.3,9.4,11.1,7,1.8,8.3,8.6,5.8,7.8,9.6,0.3,6.8,4.6,-0.4,4,7.2,5.5,6.1,Reels,7.7,9.6,3.7,9.2,I feel mentally tired after social media usage.,0.66,0.85,Stressed,High,93.8,9.2,94.9
P0007,26,Female,College Student,5,1.1,10,102,1.6,117.2,6.1,7.2,1.3,6.2,4.1,8.7,5.1,8.7,6.6,3.8,8.7,9.7,3.1,6.5,5.5,1.6,1.7,Shorts,2.2,7.1,4.4,9,I use social media for entertainment daily.,0.55,0.81,Neutral,Moderate,65,4.8,74.9
P0008,33,Male,Creator,2.1,0,42,123,8.9,95,1.6,3.5,4,5,4.1,6.2,8.2,4.2,1,8.8,9.6,2.4,9,8,1.4,8,9.9,Educational,2.7,1.5,8.5,4.2,I use social media casually.,0.55,0.53,Calm,Low,18,3.4,29.1
P0009,28,Female,Freelancer,2.7,1.3,45,112,8.9,51.7,2.2,3.1,8.2,3.8,4.8,9.3,1.1,6.5,2.2,8.5,5,7.6,6.9,7.7,1.8,8.7,1.3,Memes,2.9,2.3,8.3,7.2,I can control my screen usage effectively.,-0.78,0.55,Neutral,Low,23.2,4,41.1
P0010,26,Male,Student,5.8,2.8,32,119,1.8,65.8,6.3,7.5,4.2,2.9,4.7,2,2.4,6.8,5.6,3.6,3.7,2.9,4.8,6.1,6.4,6.2,4.2,News,3.4,6.8,9.1,1.4,I use social media for entertainment daily.,0.8,0.04,Excited,Moderate,65.2,4.9,62.1
P0011,24,Female,College Student,4.7,1.1,26,46,2,86.9,5,6.1,7.7,4.8,7,5.8,7.8,4.6,6.7,4.3,9.9,4.5,3.1,6.7,5.7,1.3,5.6,Shorts,5.6,6.1,1.7,9.5,I occasionally lose track of time online.,-0.79,0.56,Excited,Moderate,59.2,4.6,60
P0012,22,Other,College Student,1.4,0.2,60,52,1.5,41.3,2.8,3.7,7.6,4.2,8.4,1.6,8.4,3.2,2.6,7.9,8.9,7.6,8.2,8.3,1.6,9.9,7.9,Lifestyle,2.8,3.4,4.1,1.7,I can control my screen usage effectively.,0.9,0.93,Neutral,Low,28.2,2.1,28.3
P0013,31,Female,College Student,6.5,6.2,34,74,2.4,9.6,4.3,5.6,5.6,9.3,3.1,7.3,3.5,2.7,4.3,6.4,4.2,1.6,6.2,5.8,6.6,6.9,5.9,Memes,5.4,5.1,4,4.4,I use social media for entertainment daily.,0.29,0.26,Excited,Moderate,51.8,4.4,53.8
P0014,34,Other,Student,4.2,2.3,52,66,9.8,86.4,4.7,5.5,9.4,1.1,4.6,6.4,4.7,1.3,5,4.6,4.1,7.9,5.6,6.9,5.3,8.9,1.4,Shorts,9.9,5.8,1.3,4.7,I occasionally lose track of time online.,0.67,0.39,Excited,Moderate,52.6,5.9,51
P0015,23,Male,Creator,2.9,0.9,50,135,3.5,43.8,2,3.2,2.3,8.1,5,8.6,6.8,5.1,2.2,7.9,5.9,8,8.3,7.5,3,4.2,8.5,Lifestyle,2.3,3.1,6.4,9.7,I mainly use YouTube for learning.,-0.53,0.8,Neutral,Low,27,2.7,40.8
P0016,27,Female,Creator,3.8,0.4,20,47,4.3,76.3,2.1,3.9,4.9,2.3,6.2,1.9,3.5,8.8,2.8,7.1,9.5,5.2,6.2,7.1,2.8,5.2,7.1,Memes,9.8,3.4,4.4,1.1,I mainly use YouTube for learning.,-0.53,0.01,Neutral,Low,30,3.2,38.5
P0017,19,Male,Freelancer,2.7,0.1,41,20,8.7,66.6,2,3.3,1.4,9.4,9.6,4,5,5.2,2.6,6.6,9.3,9.8,7.5,7.7,1.6,2.1,6,Educational,9.1,2.9,2,6.1,I can control my screen usage effectively.,0.51,0.72,Calm,Low,24.8,4,32.4
P0018,32,Female,Student,5.3,2.3,12,49,9.6,6.6,6.3,6.5,3.1,9.6,5,9.9,6.5,9.8,6.2,3.3,2.3,9.2,4.4,6.3,5.1,2.4,5.2,Shorts,3.1,7,8.1,9.9,I occasionally lose track of time online.,0.36,0.49,Neutral,Moderate,62.2,6.8,76.2
P0019,22,Female,Student,9.6,9.3,5,148,5,34.1,8.1,8.4,2.8,2.9,3.5,7.6,3.6,6.5,8.1,2.4,8.6,4.3,1.9,4.2,8.4,9.6,6.9,News,8.6,8.5,3.1,8,I feel mentally tired after social media usage.,-0.51,0.71,Restless,High,83,7.7,83.4
P0020,33,Other,Creator,1.1,0.9,11,90,2.8,86.9,1,2.8,9.6,6.6,2.1,6.2,5.9,8.3,2.7,8.2,7,5,7,8.4,2.4,6,6.9,Memes,6.1,2.7,3.2,2,I rarely spend too much time online.,-0.22,0.31,Neutral,Low,23.2,1.9,39.1
P0021,20,Other,Employee,9.5,4,29,118,5.6,55.1,8.6,9.6,4.8,4.9,2.1,4.5,7.9,9.5,7.2,3,3.2,2,3.3,4.2,8.5,10,8.2,Shorts,7.7,8.1,1.1,4.5,I feel mentally tired after social media usage.,0.49,0.17,Stressed,High,84,7.7,84
P0022,21,Female,Freelancer,4.9,4.2,57,146,6.9,20.4,5.6,5.9,1.6,4.5,7.8,8.8,2.5,9,6.5,3.3,8.4,4.5,2.9,6.5,4.9,4.9,5.5,News,5,7,9.8,6.9,I spend a moderate amount of time on social media.,-0.62,0.37,Neutral,Moderate,59.8,6,71.6
P0023,34,Male,Freelancer,1.8,1.7,38,87,2.8,88.8,1.6,3.4,9.5,5.3,1.4,7.6,8.3,6.3,1.1,9.4,7.1,8.8,8.8,8.1,1.4,9.1,9.9,Reels,8.1,1.7,6.6,3.7,I can control my screen usage effectively.,-0.9,0.13,Calm,Low,18.4,1.8,34.6
P0024,29,Female,College Student,6.2,3.4,44,82,6.4,12.5,4.3,5.7,1,7.4,7.3,9.2,4.7,3.8,4.6,5.9,3.5,5.3,5.1,5.9,4.9,5.5,1.3,Memes,2,4.8,8.6,4.8,I occasionally lose track of time online.,-0.72,0,Excited,Moderate,48.6,5.4,55.9
P0025,20,Other,Creator,5.5,0.6,36,150,8.6,107.6,5.7,6.1,2.3,1,7.4,3.3,8.6,8,4.3,6.2,6.5,4.7,5.8,6.2,6.3,1.5,7,Shorts,9,5.5,5.5,7.6,I sometimes get distracted while studying.,0.28,0.16,Neutral,Moderate,55.8,6,58.8
P0026,17,Other,Employee,9.7,5.3,51,56,6.2,42,8.9,10,6.1,7.3,2.1,3.4,7.3,5,9.3,-0.2,6.2,6.9,0.1,4.2,8.8,5.2,6.9,Lifestyle,3.6,9.2,7.9,5.4,I constantly switch between apps during study time.,-0.62,0.56,Anxious,High,92.4,8.5,81.9
P0027,28,Male,Freelancer,8.1,4.3,19,122,6.4,117.5,8.2,8.3,6.7,2.6,9.3,2.4,2,2.7,7.9,2.6,4.5,1.1,1.6,5,8.2,3.1,9.5,Gaming,2.8,8.1,7,3.2,I feel anxious without checking my notifications.,-0.64,0.29,Restless,High,81.4,7.7,68.7
P0028,16,Other,Freelancer,9.6,6.8,7,147,2.5,78.5,9.3,10.5,7,9.8,8.5,1.1,5.4,4,8.4,2.3,8.2,2.9,2.2,4.2,9.5,3.4,9.8,Educational,6.5,9.8,1.2,2.1,I spend hours watching shorts without realizing time.,-0.23,0.87,Anxious,High,95,7.4,78.9
P0029,30,Male,Employee,2.5,1.4,12,62,7.4,23.2,2.7,3.6,7.1,4.2,7.4,9.9,7.9,9.1,3,8,4.5,8.3,7,7.8,2.5,3.3,8.6,Memes,6.6,3.3,6.2,7.3,I mainly use YouTube for learning.,-0.08,0.81,Neutral,Low,30.2,3.9,51.2
P0030,19,Other,Freelancer,7.8,0.2,49,147,4.1,82.6,6.7,7.3,2.9,6.3,9.5,8.8,7.2,8.6,4.3,6.7,8.7,1,6.6,5.1,6.2,9.4,7.8,Shorts,5.1,5.6,8.7,8,I spend a moderate amount of time on social media.,-0.17,0.48,Excited,Moderate,60.2,5.7,71.3
P0031,35,Male,College Student,5.4,2.5,60,94,8.2,112.1,6.2,6.3,2.4,9.8,1.9,8.4,4.3,6.4,4.3,5.3,2.8,7.6,5.5,6.3,4.4,4.7,8.1,Gaming,1,5.9,8.5,1.7,I use social media for entertainment daily.,-0.39,0.31,Neutral,Moderate,54.2,6,62.8
P0032,27,Other,Freelancer,10.9,2.6,38,12,3.1,34.4,9.6,10.4,2.9,5.3,6.8,6.8,6.2,2.9,7.7,1.9,5.2,6.4,3.1,3.5,8.6,5,6.2,Shorts,6.6,9.3,4.3,6.4,I feel anxious without checking my notifications.,-0.68,0.54,Anxious,High,91.2,7.8,82.9
P0033,34,Male,Freelancer,2.4,0.2,42,66,2.8,25.2,2.4,2.7,9.1,4.6,9.4,5.3,6.2,5.8,2.5,7.4,4.8,4.2,7.1,7.8,2,3.1,3,Lifestyle,6.5,3.4,3.7,9.1,I use social media casually.,-0.91,0.57,Neutral,Low,26,2.5,36.2
P0034,26,Male,Student,11.1,0.4,28,112,4.2,105.5,10,11.5,6.8,3.4,6,9.1,2.7,1.7,7.2,1.9,4.7,7.5,3.1,3.5,8.5,8.9,4.3,News,3.8,8.8,1.3,1.2,I spend hours watching shorts without realizing time.,0.11,0.26,Restless,High,92,8.1,85.2
P0035,26,Female,Freelancer,6.5,5.3,16,40,9.2,42,4,6,8.7,2.5,3.3,9.4,4.5,5.2,5.4,3.7,6.1,1.2,4.2,5.8,7,9.8,2.5,Educational,5.4,5.2,3.2,5.8,I occasionally lose track of time online.,-0.34,0.81,Neutral,Moderate,55.2,6.3,63.3
P0036,23,Male,Freelancer,6.9,3.1,23,107,3.4,95.8,6.6,8.4,9.7,1.1,7.9,9,5.6,3.2,5.5,5.5,1.6,3.2,3.9,5.5,5.8,2,5.8,Gaming,9.1,6.5,6.5,6.2,I spend a moderate amount of time on social media.,0.52,0.03,Excited,Moderate,65.6,5.6,67.5
P0037,29,Other,College Student,6.4,3.6,60,101,7.4,11.2,5,5.5,2.6,2.2,7.4,5.6,9.9,4.7,6.6,2.7,5.6,5.8,3.6,5.8,5.3,3.6,3.3,Gaming,6,6.1,6.6,9.8,I sometimes get distracted while studying.,-0.85,0.38,Excited,Moderate,57,6.3,58.2
P0038,27,Other,Student,5.2,1.4,36,134,2.4,119.8,6.7,8.1,1.6,9.5,7.4,3.6,3.1,6.5,5.6,4.1,4.5,1.2,4.8,6.4,4.7,1.7,9.2,Lifestyle,9.6,6.3,2.2,5,I spend a moderate amount of time on social media.,0.99,0.74,Neutral,Moderate,62.8,5,62.2
P0039,23,Male,College Student,5.1,3.4,15,61,4.4,83.2,6.7,8.4,6,9.8,9.5,3.5,5.4,5,5.2,4.8,2.5,2.2,5.6,6.5,6.5,6.3,5.7,Shorts,5.6,6,5.9,7.4,I sometimes get distracted while studying.,-0.52,0.53,Excited,Moderate,65.6,5.3,61.9
P0040,23,Other,College Student,4.9,0.9,55,113,9.4,43.8,6.6,7.5,1.7,7.5,2.3,8.8,8,3.6,5.2,5.2,2.4,9.9,4.9,6.5,6.7,5.2,10,Memes,5.7,6.9,7.7,5,I use social media for entertainment daily.,0.44,0.83,Excited,Moderate,65.8,6.5,68
P0041,25,Male,Student,4.3,3.8,58,28,2.4,94.8,5,6.8,9.3,1.5,8.7,6.2,6,7.4,6.2,4.3,1.3,8.5,4.6,6.8,6.5,9.1,1.1,Shorts,3.4,5.6,5.4,9.8,I spend a moderate amount of time on social media.,-0.58,0.43,Neutral,Moderate,60.2,4.5,65.6
P0042,25,Other,Creator,2,2,55,113,3.7,18,2.8,4.1,8.9,2.2,4.3,1.7,9.7,3,2,7.5,1.7,9.7,7.1,8,2.3,5.6,5.9,News,4,3.1,2.1,5.5,I mainly use YouTube for learning.,-0.78,0.55,Calm,Low,28.6,2.6,28.5
P0043,22,Female,Student,3.4,0.2,27,109,3.2,90.5,1.7,2.1,4.7,9,3.8,9.2,9.4,2.7,1.6,8.4,5.3,5.8,9.2,7.3,2.3,5.5,9.4,Memes,4.7,2.3,5,6.3,I rarely spend too much time online.,0.06,0.35,Neutral,Low,20,2.5,32.8
P0044,28,Other,Student,4.6,1.7,45,92,9.8,103.9,4.9,4.9,6.3,7.6,4.7,5.1,5,5.5,4.3,6.4,5.7,3.9,6.7,6.7,4.7,1.2,8.3,Reels,3.6,4.9,6.7,7.2,I spend a moderate amount of time on social media.,0.11,0.11,Neutral,Moderate,47.4,5.9,51.4
P0045,26,Male,Student,8.8,6.8,60,35,5.1,89.7,9.1,10.6,1,2.2,9.2,2.9,6.8,6.5,9.7,-0.6,4,6.6,0.9,4.6,8.4,6,7.4,Memes,5.4,9.8,9.3,4.8,I cannot stop scrolling reels late at night.,-0.56,0.1,Restless,High,95.2,8.2,85.5
P0046,34,Male,Freelancer,9.1,6.5,50,53,4,25.9,8.4,9.4,3.7,2.9,9.7,2.8,8.4,3.7,9.5,-0.2,6.6,4.5,-0.1,4.5,8.2,9.8,7.6,Shorts,2.1,9.3,2,9.6,I feel mentally tired after social media usage.,0.97,0.85,Anxious,High,89.6,7.8,76.9
P0047,20,Female,Employee,3,0.9,52,48,5.4,27.2,2.7,2.9,8.3,1.5,1.5,1.2,6.6,1.6,2.6,8.4,3.3,7.3,6.4,7.5,2.8,1.8,4.8,Lifestyle,9.5,2.8,2,3.9,I can control my screen usage effectively.,-0.46,0.73,Neutral,Low,27.6,3.4,24.9
P0048,18,Female,College Student,1.6,0.8,23,132,1.2,20,1.8,2.9,7.8,1.9,9.2,4.7,2,2.2,1.3,8.6,3.4,9.6,9.6,8.2,2.1,4.5,6.4,Shorts,2.6,2.2,1.8,1.7,I use social media casually.,0.3,0.28,Neutral,Low,20.6,1.5,25.8
P0049,16,Other,Creator,4.3,2.5,18,49,1.9,56.9,6.7,7,5.4,1.9,4.3,9,1.2,2.5,5.4,5.2,5.2,8.1,5.2,6.8,4.1,2.7,6.7,News,9.6,6.4,2,6.6,I use social media for entertainment daily.,-0.58,0.6,Neutral,Moderate,59.2,4.6,61.7
P0050,35,Other,Creator,2,1.7,56,77,9.8,41.9,2.1,3.4,2.6,4.9,1.6,1.6,5.1,4.2,1.7,8.7,4.5,7.2,7.6,8,2.3,8.1,3.8,News,2.9,2.6,7.8,9.7,I mainly use YouTube for learning.,0.66,0.64,Calm,Low,24.2,3.9,26.8
P0051,31,Male,Freelancer,7.3,0.6,55,141,3.2,28.6,5.3,6.1,6.9,4.4,9.2,3.4,6.9,5.9,4.3,6,5.8,8.1,4.9,5.3,4.9,9.2,8.3,Educational,9.6,5.7,6.8,2.1,I occasionally lose track of time online.,0.08,0.26,Neutral,Moderate,52.6,5,53.4
P0052,35,Other,Creator,2.9,0.1,19,89,4.1,45.7,1.7,2.4,8.7,9.3,6,8.2,8.5,6.9,2.9,7.9,3.9,5.2,6.7,7.5,2,7.5,9.4,News,1.2,2.4,3.1,5.4,I can control my screen usage effectively.,-0.99,0.06,Calm,Low,22.8,2.9,39.8
P0053,21,Other,Creator,4.7,3.1,43,128,2.1,100.8,4.4,4.7,4.2,6.4,5.7,7.5,1.3,8.2,4,6.4,9.2,2.8,6,6.7,5.8,1.8,3.3,Gaming,1.3,4.7,8.7,8.7,I sometimes get distracted while studying.,-0.54,0.75,Excited,Moderate,47.2,3.8,58.9
P0054,16,Female,Creator,5.6,1.2,21,97,2.1,38.9,5.1,5.8,7.7,6.9,7.3,3.7,5.6,9.3,6.1,3.5,9.8,9.5,3.1,6.2,5.4,2.3,5,Memes,2.5,6,8.8,1.3,I occasionally lose track of time online.,0.55,0.51,Neutral,Moderate,56.8,4.7,62.1
P0055,21,Male,Student,3.7,3.6,15,74,9.1,60.5,1.8,2.9,9.2,6.5,4.1,8.7,2.1,1.5,1.5,9,6.5,4.9,8.3,7.2,1.8,7.5,9.5,Memes,3.5,2.3,5.9,9.6,I mainly use YouTube for learning.,-0.54,0.36,Calm,Low,20.6,4,30.8
P0056,16,Male,Employee,6.8,1.5,55,145,4.7,105.2,4.2,5.8,2.2,8.4,7.9,5.5,1.6,6.7,5.9,3.5,7,9.9,4.5,5.6,6.1,5.9,4.1,Memes,4.2,6,5,2.1,I occasionally lose track of time online.,-0.13,0.41,Excited,Moderate,56,5.4,60.3
P0057,33,Female,College Student,6.7,1.9,54,23,7.8,80.5,4.6,4.9,6.7,8.3,3.2,2.2,7.8,2.2,4.1,5.3,3.4,7.3,5.4,5.7,5.3,1.2,9.9,Shorts,5.3,4.4,10,4.4,I sometimes get distracted while studying.,0.36,0.47,Neutral,Moderate,46.6,5.8,41.5
P0058,21,Other,Creator,6.7,5.5,22,63,1.1,5.7,4.1,5.3,2.9,5.5,9.3,8.5,7.6,7.5,6.2,3.5,8.5,5.7,2.9,5.7,4.1,8.6,1.7,Shorts,9.1,5.7,1.8,5.7,I spend a moderate amount of time on social media.,0.95,0.64,Neutral,Moderate,50.8,4.5,62.1
P0059,34,Female,Employee,1.8,1.3,44,129,4.5,34.8,1.3,1.5,9.5,3.8,9.9,7.9,6.8,8.8,1.3,9.7,7.8,2.7,8.9,8.1,2.2,6.7,3.4,Memes,3.3,1.9,7.6,9.6,I use social media casually.,-0.98,0.2,Calm,Low,16.4,2.2,37.4
P0060,26,Male,College Student,7.2,0.2,25,79,4.1,104.5,5.5,6.4,2.4,8.4,7.6,9.8,2.2,1.3,5.4,5,8.5,3.3,5.3,5.4,6.5,9.2,9.9,Lifestyle,4.5,5.5,4.7,7.2,I sometimes get distracted while studying.,0.58,0.86,Excited,Moderate,58.6,5.6,60.6
P0061,20,Other,Employee,6.4,1.9,39,86,7.9,14.4,6.8,8.6,1.6,9.2,3.4,8.5,9.7,7.7,5.3,4.2,2.7,2.2,5.4,5.8,5.9,5,5.7,Lifestyle,5.5,6.5,8.8,3.5,I sometimes get distracted while studying.,0.03,0.4,Neutral,Moderate,66.2,6.6,74
P0062,33,Female,College Student,4.3,0.2,58,135,1.7,14.8,6.8,7.5,4.1,2.1,6.8,5,2,6.4,6.4,3.2,6.5,9.5,2.9,6.8,5.9,5.7,3.7,News,4.4,6.8,3.8,4.4,I sometimes get distracted while studying.,-0.48,0.66,Neutral,Moderate,66.8,4.8,67.2
P0063,18,Female,Freelancer,5.5,3.4,55,47,8,60.8,6.7,8.2,2.5,5,1,5.7,4.9,2.8,6.7,2.8,8.5,3.6,2.9,6.2,5.5,4.2,4,Lifestyle,1.1,7.6,3.8,3.7,I spend a moderate amount of time on social media.,-1,0.41,Excited,Moderate,69.4,6.7,64.8
P0064,22,Other,Freelancer,10.8,9.3,14,13,3.1,91.1,9.3,11.3,2.7,8.5,9.6,5,1.4,10,7.3,3.7,8.6,4,2.1,3.6,9.5,4.5,6.9,Gaming,2.9,8.4,7,5.3,I cannot stop scrolling reels late at night.,0.52,0.21,Restless,High,91.6,7.6,91.2
P0065,27,Male,Employee,1.2,0.9,50,33,9,25.8,2.1,3.4,2.9,3.2,7.1,1.9,5.4,3.6,1.8,8,8.4,2.4,7.2,8.4,2.9,6.6,5.3,Shorts,4.5,2.1,7.9,2.5,I rarely spend too much time online.,-0.19,0.24,Neutral,Low,24.6,3.5,26.7
P0066,17,Female,Student,11.9,6.5,51,150,7.9,99.7,8.7,9.9,7.1,2.9,4.2,8,1.3,1.7,8.2,1.5,6.1,4.4,2.5,3,9,7.1,5.8,Memes,3.2,9.4,1.6,6.9,I feel mentally tired after social media usage.,0.9,0.02,Anxious,High,90.4,9.2,82.3
P0067,21,Female,Student,5.4,2.9,20,140,9.7,69,5.6,6.2,8.2,1.8,1.2,8.4,8.7,4.9,5,5.1,5.2,4,5.2,6.3,6.6,7.9,5.8,News,3.9,5.6,5.8,1.2,I use social media for entertainment daily.,0.88,0.4,Excited,Moderate,58,6.4,63.4
P0068,29,Other,Student,10.6,6.4,27,97,9.2,24.4,9.7,10,1,7.7,3.8,7.7,8.5,8.4,9.6,0.9,7,4.8,1.2,3.7,8.3,2,4.2,Reels,7.6,10.4,10,9.6,I feel anxious without checking my notifications.,-0.45,0.19,Restless,High,96,9.8,96.1
P0069,26,Other,Creator,4.3,1.9,29,115,9.6,18.5,6.8,7.3,6.5,6.8,9.8,8.7,2.3,7.5,4.5,6.3,8.5,1.3,6,6.8,6.8,9.8,4.5,Lifestyle,4.4,6,8.7,3,I occasionally lose track of time online.,-0.65,0.85,Neutral,Moderate,62.8,6.3,71.4
P0070,35,Male,College Student,7.6,3.5,29,14,4.9,94,5.8,6.9,6,9.8,2.3,1.7,4.3,1.6,4.9,5.8,4.4,6.8,5.4,5.2,4.5,1.2,6.5,Shorts,7.9,5.9,6.6,10,I occasionally lose track of time online.,-0.33,0.04,Neutral,Moderate,56,5.8,47
P0071,23,Female,College Student,2.5,1.5,51,131,1.6,117.4,2.6,3.9,7.9,3.5,4.9,6,4.4,2.2,2.6,7.9,6.5,9.4,7.7,7.8,2.6,3.5,5.9,Memes,1.7,2.9,8.2,8,I mainly use YouTube for learning.,-0.26,0.72,Neutral,Low,29.2,2.3,34.2
P0072,17,Male,Student,11.7,8.9,14,10,5.7,41.6,8.5,8.7,8,7.2,8.1,3.1,7.6,8.5,9.9,0,2.6,1.5,-0.5,3.2,7.1,6.8,4.5,Lifestyle,6.8,9.7,1.4,7.8,I feel anxious without checking my notifications.,0.24,0.55,Stressed,High,87.8,8.9,83.3
P0073,30,Other,Freelancer,4.4,2.6,40,42,3.4,5.7,4.2,5.1,7.9,4.7,9.3,7.3,1.6,8.1,6.9,2.2,8.5,8.2,2.9,6.8,5.5,8.6,5.1,Gaming,3,6,6.5,6.4,I sometimes get distracted while studying.,-0.4,0.83,Neutral,Moderate,55.4,4.7,64.7
P0074,21,Female,Employee,11.5,3.2,13,70,5.9,77.1,8.1,8.8,7.6,4.9,9.7,9.1,2.5,9.9,9.5,0.3,2.5,3.5,-0.4,3.2,9.3,3.3,6.9,Shorts,5.2,9.3,3.4,6.8,I cannot stop scrolling reels late at night.,-0.31,0.04,Anxious,High,90,8.8,96
P0075,20,Other,Creator,9.1,5.8,26,76,3,26.8,8.1,9,1,9.8,6.2,5.4,4.6,5.9,7.7,1.5,9.1,2.5,2.9,4.5,9.4,2.5,3.1,Reels,4.1,8.6,3.9,8.2,I feel anxious without checking my notifications.,0.28,0.07,Anxious,High,85.6,7,81.2
